,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,InformedConsent,Prolific,Overall_knowledge,importance_role,industry_regulations,guidelines,awareness,measures,measures_11_TEXT,report_issue,frequency_informed,review_policies,concern,Confidence,confident_prevent,knowledge,maintain_tools,rank_tools_1,rank_tools_2,rank_tools_3,rank_tools_4,rank_tools_5,antivirus_scans,Considerations,AI_in_cybersecurity,AI usage,ai_accuracy,Bias_security,wrong_identification,Worst_Outcome,Trust in AI,Review_frequency,location_policies,Consequences,Effectiveness,rank_steps_1,rank_steps_2,rank_steps_3,rank_steps_4,rank_steps_5,specialist,it_specialist_increase,it_specialist_solve,improvement_cybersecurity,training,follow_training,frequency_training,relevancy,Knowledge_increase_after_training,implementation,increase_in_effectiveness,familiarity_with_phishing,password_update_frequency,public_networks,Lock_screen,Sensitive_information_on_local,Same_password_multiple_systems,pop_up_frequency,download_unrelated,received_emails_with_link,CIRP_available,dedicated_department_cyberthreat,tests_within_company,notification_protocol,protocols_sharing_info,Age,nationality,Gender,sector,Company Size,department,Years of Experience,questions,PROLIFIC_PID
2,2024-09-30 16:16:37,2024-09-30 16:21:16,IP Address,94.5.23.174,100,278,True,2024-09-30 16:21:17,R_2re2v1Atwc4KJ8X,52.8499,1.3547,anonymous,EN,Yes,66fa6955223d6a12ab0abe94,Very knowledgeable,Extremely important,Yes,Always,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Anti-virus software,Employee training,Virtual Private Network (VPN)",,Extremely likely,Always,Monthly,A great deal,A great deal,A great deal,Somewhat adequate,Daily,5,1,4,3,2,Daily,Accuracy,Yes,No,,,,,,Monthly or more frequently,"Yes, I know exactly where they are",Very familiar,"Yes, they are very effective",1,2,5,4,3,Yes,Yes,Always,Yes,Yes,,Quarterly,Very relevant,Slightly,Always,Yes,Very confident,Every few months,"No, only private networks",Always,Never,No,No,No,Delete the message,Yes,Yes,Once a year,Yes,Yes,32,British,Male,Information Technology (IT),100+,IT & Engineering,3-5 years,More than 20 years,66fa6955223d6a12ab0abe94
3,2024-09-30 16:16:35,2024-09-30 16:22:03,IP Address,197.229.7.34,100,328,True,2024-09-30 16:22:04,R_8aJQo0MJP1YNhgl,-33.9258,18.4259,anonymous,EN,Yes,611ec49716b95cd9e2e981b4,Neutral,Slightly important,I don't know,Never,Not sure,I don't know,,Extremely unlikely,Sometimes,I don't know,A moderate amount,None at all,None at all,Neither adequate nor inadequate,Monthly,3,1,2,5,4,Monthly,Accuracy,Maybe,I don't know,,,,,,Never,"No, I've never seen them",Not familiar at all,"No, they are not effective at all",3,5,1,2,4,No,,,,I Don't Know,Only if mandatory,,,,,Yes,Neutral,Every few months,"Yes, but only with my personal devices",Rarely,Sometimes,Yes,Yes,No,Delete the message,I don't know,I don't know,I don't know,I don't know,I don't know,31,South African ,Female,Sports and Recreation,2024-01-10 00:00:00,Other,less than 1 year,Less than 1 year,611ec49716b95cd9e2e981b4
4,2024-09-30 16:17:53,2024-09-30 16:22:13,IP Address,149.90.50.165,100,260,True,2024-09-30 16:22:14,R_8Y3dYStYrUx80xx,41.1691,-8.6793,anonymous,EN,Yes,660c0d70a8f60acced0c8cc8,Not knowledgeable at all,Not at all important,No,Never,No,I don't know,,Extremely likely,Never,Never,A little,A little,None at all,Extremely inadequate,I don't update or maintain them,1,2,4,3,5,Never,Ease of use,Maybe,No,,,,,,Never,"No, I've never seen them",Not familiar at all,"No, they are not very effective",3,5,2,4,1,No,,,,No,Only if mandatory,,,,,Not sure,Neutral,Only when forced,"Yes, with all my devices",Sometimes,Sometimes,Yes,No,No,Delete the message,No,No,Never,No,No,23,Portuguese,Female,Healthcare and Pharmaceuticals,51-100,Operations & Supply Chain,1-3 years,More than 20 years,660c0d70a8f60acced0c8cc8
5,2024-09-30 16:16:39,2024-09-30 16:22:38,IP Address,176.76.227.219,100,358,True,2024-09-30 16:22:40,R_8L7NfdAC2oy8lQh,46.0503,14.5046,anonymous,EN,Yes,65957d4770ec0aae0dfa7dc7,Knowledgeable,Extremely important,Yes,Sometimes,Yes,"Firewalls,Two-factor authentication,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Always,Monthly,A great deal,A great deal,A lot,Extremely adequate,Less frequently,5,2,3,1,4,Rarely,Accuracy,Yes,I don't know,,,,,,Monthly or more frequently,"Yes, I know exactly where they are",Very familiar,"Yes, they are somewhat effective",5,4,1,2,3,Yes,Yes,Always,Yes,Yes,,Quarterly,Very relevant,Significantly,Moderately,Yes,Neutral,Every few months,"No, only private networks",Always,Sometimes,Yes,No,Yes,"Click the link, and investigate the root of the problem to Report it to IT or a supervisor",Yes,Yes,Actively and randomly all the time,I don't know,Yes,35,Slovenian,Male,Finance and Banking,100+,Sales & Marketing,5-10 years,More than 20 years,65957d4770ec0aae0dfa7dc7
6,2024-09-30 16:17:54,2024-09-30 16:23:12,IP Address,195.23.71.162,100,317,True,2024-09-30 16:23:12,R_2m1ALpbg0b0xJFa,41.1256,-8.602,anonymous,EN,Yes,5e31aeefc549ee023d351eab,Knowledgeable,Extremely important,No,Sometimes,Yes,"Firewalls,Two-factor authentication,Data backups,Anti-virus software,Virtual Private Network (VPN)",,Extremely likely,Sometimes,Biannually,A great deal,A lot,A moderate amount,Somewhat adequate,Weekly,2,1,3,5,4,Rarely,Accuracy,No,No,,,,,,Once a year,"Yes, I know exactly where they are",Not very familiar,"Yes, they are somewhat effective",1,2,4,5,3,Yes,Yes,Often,Yes,No,"Yes, willingly",Never,,,,Yes,Somewhat confident,Every few months,"Yes, but only with my personal devices",Always,Always,No,No,No,Delete the message,I don't know,No,Never,Yes,I don't know,26,Portuguese,Female,Manufacturing,26-50,Customer Service & Support,3-5 years,More than 20 years,5e31aeefc549ee023d351eab
7,2024-09-30 16:20:17,2024-09-30 16:23:25,IP Address,78.137.208.208,100,187,True,2024-09-30 16:23:25,R_2D6KSYwAkNbHo6n,38.731,-9.1373,anonymous,EN,Yes,5f7506afbadfcf169784f466,Knowledgeable,Not at all important,Yes,Always,Yes,"Firewalls,Two-factor authentication,Data backups,Employee training,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Annually,A lot,A lot,A moderate amount,Neither adequate nor inadequate,Less frequently,4,5,2,1,3,Never,Ease of use,Maybe,I don't know,,,,,,Never,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are somewhat effective",4,5,1,2,3,Yes,No,Always,Not sure,Yes,,Annually,Relevant,Moderately,Moderately,Yes,Very confident,Only when forced,"No, only private networks",Always,Never,Yes,No,Yes,Delete the message,I don't know,I don't know,I don't know,I don't know,I don't know,25,Brazilian,Female,Telecommunications,26-50,Sales & Marketing,1-3 years,10 - 20 years,5f7506afbadfcf169784f466
8,2024-09-30 16:19:47,2024-09-30 16:23:26,IP Address,89.168.128.54,100,218,True,2024-09-30 16:23:26,R_8jTcgOPzw3GYhu5,51.5494,-0.3664,anonymous,EN,Yes,66af99774c0c2849bca8e5b7,Knowledgeable,Very important,Yes,Often,Yes,"Firewalls,Encryption,Two-factor authentication,Anti-virus software,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat likely,About half the time,Biannually,A little,A moderate amount,A lot,Somewhat adequate,Monthly,5,3,4,1,2,Weekly,Accuracy,Maybe,No,,,,,,Never,"Yes, but I'm not sure of the exact location",Somewhat familiar,Neutral,1,3,4,5,2,Yes,Yes,Always,Yes,I Don't Know,Only if mandatory,Quarterly,,,,Yes,Somewhat confident,Only when forced,"Yes, with all my devices",Sometimes,Sometimes,Yes,No,Yes,Ignore,I don't know,I don't know,Never,No,No,20,British,Female,Hospitality,2024-01-10 00:00:00,Other,less than 1 year,5 - 10 years,66af99774c0c2849bca8e5b7
9,2024-09-30 16:18:05,2024-09-30 16:23:32,IP Address,169.0.117.101,100,326,True,2024-09-30 16:23:32,R_8LZsqGPnCRKdlfj,-33.91,18.4304,anonymous,EN,Yes,611a7dcc2dbcd2a013c5eccc,Neutral,Moderately important,Yes,Always,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Anti-virus software,Employee training,Virtual Private Network (VPN),Password Manager",,Extremely likely,Most of the time,Quarterly,A lot,A great deal,A great deal,Somewhat adequate,Less frequently,5,2,3,4,1,Rarely,Ease of use,Yes,No,,,,,,Quarterly,"No, I don't know where they are",Somewhat familiar,"Yes, they are very effective",3,5,1,2,4,Yes,Yes,Always,Yes,Yes,,Quarterly,Neutral,Moderately,Moderately,Yes,Very confident,Every few months,"Yes, with all my devices",Always,Often,Yes,No,No,Delete the message,I don't know,Yes,Once a year,Yes,Yes,27,South African,Female,Finance and Banking,2024-11-25 00:00:00,Product Development & R&D,1-3 years,5 - 10 years,611a7dcc2dbcd2a013c5eccc
10,2024-09-30 16:17:54,2024-09-30 16:23:34,IP Address,93.49.205.172,100,340,True,2024-09-30 16:23:35,R_8M6I1plZCuDoxvc,45.0914,7.6639,anonymous,EN,Yes,5e8201f5ce25959080ae5b50,Neutral,Slightly important,No,Always,Yes,"Firewalls,Data backups,Anti-virus software,Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat unlikely,Most of the time,Annually,A little,A little,A moderate amount,Neither adequate nor inadequate,Weekly,1,2,3,4,5,Rarely,Ease of use,Yes,No,,,,,,Never,"Yes, but I'm not sure of the exact location",Very familiar,"Yes, they are very effective",1,5,3,4,2,No,,,,No,Only if mandatory,,,,,Yes,Neutral,Only when forced,"No, only private networks",Always,Sometimes,Yes,No,Yes,Delete the message,No,No,Never,No,No,38,Italian,Male,Consulting and Professional Services,2024-01-10 00:00:00,Other,5-10 years,5 - 10 years,5e8201f5ce25959080ae5b50
11,2024-09-30 16:18:12,2024-09-30 16:23:34,IP Address,79.107.61.6,100,322,True,2024-09-30 16:23:35,R_2JlzgjdMdD3BRzP,37.9842,23.7353,anonymous,EN,Yes,5ede000fb1248f0009695ab4,Knowledgeable,Moderately important,Yes,Always,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Quarterly,A lot,A lot,A lot,Neither adequate nor inadequate,Less frequently,4,2,5,3,1,Rarely,Accuracy,Yes,No,,,,,,Once a year,"Yes, I know exactly where they are",Very familiar,"Yes, they are somewhat effective",4,5,1,3,2,Yes,Yes,Always,Yes,No,"Yes, willingly",Annually,,,,Yes,Neutral,Every few months,"Yes, but only with my personal devices",Often,Rarely,No,No,No,Ignore,No,Yes,I don't know,I don't know,I don't know,28,Greek,Male,Shipping and Maritime,26-50,IT & Engineering,1-3 years,5 - 10 years,5ede000fb1248f0009695ab4
