text,general_emotion,emotion_encoded,true_label,predicted_label,correct,text_length
the task of everyone is to demonstrate to guests all their talents,neutral,4,neutral,happiness,False,12
which will receive a prize from the dinner continuent program,neutral,4,neutral,happiness,False,10
the winner of the week will become a participant in the superfinal,neutral,4,neutral,happiness,False,12
in which the best of the best will meet,neutral,4,neutral,happiness,False,9
i came to the dinner i came to show everyone,happiness,3,happiness,neutral,False,10
that food should be primarily spiritual unexpressible not worn,surprise,6,surprise,neutral,False,9
restaurant singer anastasia ponomareva,neutral,4,neutral,happiness,False,4
five years ago i became interested in culinary,surprise,6,surprise,happiness,False,8
well since i still have building a house for my mother,happiness,3,happiness,neutral,False,11
then the refrigerator and then of course the dishwasher,happiness,3,happiness,neutral,False,9
she is vividly interested in new products not only of fashion but also culture in general,surprise,6,surprise,happiness,False,16
of course i read a lot,happiness,3,happiness,neutral,False,6
in addition i accept guests,neutral,4,neutral,happiness,False,5
our heroine inherited such a hobby,neutral,4,neutral,happiness,False,6
mom always baked pies,happiness,3,happiness,neutral,False,4
i grew up in the atmosphere of this real russian hospitality the russian feast,neutral,4,neutral,happiness,False,14
but for us to talk,happiness,3,happiness,neutral,False,5
we are at home call more persistent please,neutral,4,neutral,anger,False,8
since lydia lecturer we believe that this is a person who is already over,neutral,4,neutral,surprise,False,14
and i think that some kind of such an old interesting apartment should be,surprise,6,surprise,happiness,False,14
i am home in century,happiness,3,happiness,neutral,False,5
they even wanted to shoot her in the cinema,happiness,3,happiness,neutral,False,9
it seems to me that lydia had to stay from her ancestors of noble origin,happiness,3,happiness,surprise,False,15
or some old dishes,surprise,6,surprise,neutral,False,4
here you see even the furniture of vladimir petrovich serbsky has been preserved,happiness,3,happiness,neutral,False,13
and here his dishes were preserved,happiness,3,happiness,neutral,False,6
and there is even japanese figurine,surprise,6,surprise,neutral,False,6
and i want to say that of course he loved to drink coffee very much,neutral,4,neutral,happiness,False,15
come on i ll show you a coffee grinder,happiness,3,happiness,neutral,False,9
if not,surprise,6,surprise,neutral,False,2
go crazy,surprise,6,surprise,anger,False,2
this should be a very interesting person,surprise,6,surprise,happiness,False,7
i studied at the moscow textile institute at the faculty of applied art,happiness,3,happiness,neutral,False,13
where zaitsev studied and all all model artists,happiness,3,happiness,neutral,False,8
this was the only faculty then in the soviet union,happiness,3,happiness,neutral,False,10
after i studied in inyaz for certified specialists,happiness,3,happiness,neutral,False,8
then i studied at the culturalist,happiness,3,happiness,neutral,False,6
then i defended my doctoral dissertation,happiness,3,happiness,neutral,False,6
and here is also a diploma,happiness,3,happiness,neutral,False,6
there is already a social sphere manager,happiness,3,happiness,neutral,False,7
well finally we see you at a dinner party,happiness,3,happiness,neutral,False,9
do you agree ?,neutral,4,neutral,surprise,False,4
agree,neutral,4,neutral,happiness,False,1
not an intricate name from lidusi,happiness,3,happiness,neutral,False,6
tell me the dessert,surprise,6,surprise,neutral,False,4
because her names are not just taken from the book,surprise,6,surprise,neutral,False,10
namely a little with a creative,happiness,3,happiness,neutral,False,6
fritten and craving for experiments are felt,happiness,3,happiness,neutral,False,7
it seems to me that the menu should be interesting,happiness,3,happiness,surprise,False,10
i liked the menu but pork and raisins seem superfluous to me,anger,0,anger,happiness,False,12
i do not need food as a pronoun at all,surprise,6,surprise,anger,False,10
i can make an assumption that all these dishes have been preparing more than once,surprise,6,surprise,neutral,False,15
and probably we have all the products in stock,happiness,3,happiness,neutral,False,9
i bought everything already,happiness,3,happiness,neutral,False,4
a person who has six higher formations,happiness,3,happiness,neutral,False,7
and you tell us from what dish we will start with you today,surprise,6,surprise,neutral,False,13
by the name it is clear that this is some kind of family dish,surprise,6,surprise,neutral,False,14
i like a guy of course do not eat pies,neutral,4,neutral,happiness,False,10
how solar processing has passed then i can try it,surprise,6,surprise,neutral,False,10
i am absolutely omnivorous and the pie for the dessert will be completely in place,neutral,4,neutral,happiness,False,15
fine,happiness,3,happiness,neutral,False,1
that there is not enough some delicious chocolate,happiness,3,happiness,sadness,False,8
the founder of moscow judicial psychiatry,happiness,3,happiness,neutral,False,6
my mother natalya konstantinna was a biologist but in the war began,sadness,5,sadness,neutral,False,12
and dad was the editor of the newspaper le nouvel de moscou,happiness,3,happiness,neutral,False,12
i apologize but i do not know how to formulate the question correctly,fear,2,fear,sadness,False,13
well of course there is well you can t crush the gene with your finger,surprise,6,surprise,neutral,False,15
of course i always had to study well,neutral,4,neutral,happiness,False,8
no no one forced me i was just interested to study,surprise,6,surprise,happiness,False,11
to know something new and then transmit this new to my students,neutral,4,neutral,happiness,False,12
i have really interested in lectures and master classes,neutral,4,neutral,happiness,False,9
i invite you come my master classes are held regularly,neutral,4,neutral,happiness,False,10
since i myself am lectures of course i understand that i need to captivate,surprise,6,surprise,happiness,False,14
what are you talking about and what you want to convey to them,neutral,4,neutral,surprise,False,13
well i think that lydia is from those,neutral,4,neutral,surprise,False,8
lydia coped with nuts very quickly they do not need to fade very much,happiness,3,happiness,neutral,False,14
i m ready,neutral,4,neutral,happiness,False,3
because in the serbian family this mazurka was very fond of it was often baked,neutral,4,neutral,happiness,False,15
and he will delight us with his culinary art,neutral,4,neutral,happiness,False,9
they fell,surprise,6,surprise,neutral,False,2
of course i will try this snack and i like it already in advance,neutral,4,neutral,happiness,False,14
here if you take by a combination of products then everything should be well compiled,happiness,3,happiness,neutral,False,15
and it must be very tasty,neutral,4,neutral,happiness,False,6
i like pranachad do not depend on food at all,neutral,4,neutral,happiness,False,10
how not to eat her i just can t imagine at all,happiness,3,happiness,surprise,False,12
so how to help you ?,happiness,3,happiness,surprise,False,6
do you know that bree is called the king of cheeses and cheese kings for the exquisite taste in france ?,happiness,3,happiness,surprise,False,21
no of course it all depends on the person we are all the blacksmiths of our happiness,surprise,6,surprise,happiness,False,17
happiness is when a person with great pleasure goes to work and with great pleasure returns home,surprise,6,surprise,happiness,False,17
for me this is a formula for happiness,surprise,6,surprise,happiness,False,8
so well we in my opinion have prepared everything the cheese is chopped,neutral,4,neutral,happiness,False,13
that s all so it is almost possible to serve,neutral,4,neutral,happiness,False,10
i will tell you that your salad from ledusi is just fantasy,happiness,3,happiness,neutral,False,12
how to help you ?,happiness,3,happiness,surprise,False,5
good and you ?,neutral,4,neutral,surprise,False,4
this hot i of course would certainly add onions and carrots,happiness,3,happiness,neutral,False,11
and i would have made some kind of milk fill,happiness,3,happiness,neutral,False,10
well under the tail of a horse i mean,happiness,3,happiness,neutral,False,9
in the year they had a wedding,neutral,4,neutral,happiness,False,7
dad leaned out of the front for one day and they signed,happiness,3,happiness,neutral,False,12
yes in the year dad left back to the front,sadness,5,sadness,neutral,False,10
but in the year after the war they met then they lived in berlin,happiness,3,happiness,neutral,False,14
well frankly mom is not about me,neutral,4,neutral,anger,False,7
because during the cult of the personality of stalin there is there,neutral,4,neutral,surprise,False,12
black funnel someone was taken,fear,2,fear,neutral,False,5
